size,yolo_layers_freezed,epoch_time,GPU,map50,map50-95,P,R,map50-escooter,map50-95-escooter,P-escooter,R-escooter
n,16,2.5,3.34,0.862      ,0.653, 0.916,0.758,0.88,0.69,0.923,0.765
s,11,4.7,5.37,0.889      ,0.699,0.875      ,0.807      ,0.866      ,0.683,0.863      ,0.798      
s,16,4.9,5.08,0.906       ,0.72,0.905      ,0.811      ,0.912      ,0.749,0.898      ,0.828      
s,19,3.9,4.14,0.897      ,0.705,0.919      ,0.805,0.896      ,0.716,0.917      ,0.803 
s,22,4.3,3.21,0.889      ,0.699,0.875      ,0.807      ,0.866      ,0.683,0.863      ,0.798      
m,11,10.0,6.12,0.903      ,0.761,0.878      ,0.842      ,0.91      ,0.792,0.901       ,0.85
m,16,10.1,5.33,0.918      ,0.766,0.889      ,0.858      ,0.92      ,0.794,0.898      ,0.857
m,19,8.0,3.85,0.91      ,0.751,0.891,0.849       ,0.898       ,0.76,0.89      ,0.835      
m,22,7.2,2.91,0.905       ,0.73,0.891      ,0.847      ,0.889       ,0.72,0.883      ,0.842      
l,16,11.9,6.47,0.916      ,0.765,0.903      ,0.857      ,0.913      ,0.779,0.895      ,0.867      
